0.00, 0.00
0.20, 1.00
0.20, 1.00
0.20, 1.00
0.20, 1.20
0.20, 1.20
0.20, 1.20
0.20, 1.20
0.20, 0.70
-0.50, 0.70
-0.40, 0.60
-0.50, 0.70
-0.40, 0.50
-0.40, 0.30
-0.20, 0.30
0.30, 0.30
0.30, 0.30
0.30, 0.30
0.30, 0.30
0.30, 0.30
-0.40, 0.20
-0.40, 0.30
-0.40, 0.30
-0.30, 0.20
-0.30, 0.20
-0.30, 0.20
-0.20, 0.20
-0.20, 0.10
-0.20, 0.20
-0.10, 0.10
-0.10, 0.10
-0.20, 0.20
-0.10, 0.10
0.10, 0.10
0.10, 0.10
0.10, 0.10
0.10, 0.20
0.10, 0.10
0.10, 0.10
0.10, 0.20
0.10, 0.20
0.20, 0.10
0.10, 0.10
0.10, 0.20
0.10, 0.10
0.10, 0.20
0.20, 0.10
0.10, 0.10
0.20, 0.20
0.20, 0.10
0.10, 0.10
0.10, 0.20
0.20, 0.10
0.10, 0.10
0.10, 0.20
0.20, 0.10
0.10, 0.20
0.10, 0.20
0.10, 0.10
0.20, 0.20
0.10, 0.10
-0.10, 0.10
-0.10, 0.20
0.00, 0.10
-0.10, 0.20
-0.10, 0.10
0.00, 0.20
-0.10, 0.10
-0.10, 0.10
0.00, 0.20
