0.00, 0.00
0.00, 1.80
0.00, 1.80
0.00, 1.80
0.00, 1.30
0.00, 1.20
0.00, 1.00
0.00, 0.50
0.00, 0.50
-0.40, 0.50
-0.40, 0.50
-0.40, 0.50
-0.40, 0.50
-0.40, 0.50
-0.40, 0.50
0.40, 0.50
0.40, 0.50
0.40, 0.50
0.40, 0.30
0.40, 0.30
0.40, 0.30
0.40, 0.30
0.40, 0.30
0.40, 0.30
0.40, 0.30
0.40, 0.30
0.40, 0.30
-0.30, 0.30
-0.20, 0.10
-0.20, 0.10
-0.30, 0.10
-0.20, 0.10
-0.20, 0.10
-0.30, 0.10
-0.20, 0.00
-0.20, 0.00
-0.30, 0.00
-0.20, 0.00
-0.20, 0.00
-0.30, 0.00
-0.20, 0.00
-0.20, 0.00
-0.30, 0.00
-0.30, 0.00
-0.20, 0.00
-0.20, 0.00
-0.20, 0.00
